List An Experience,List An Experience,,
Become a Host,Become a Host,,
Help,Help,,
Sign In,Sign In,,
Sign Up,Sign Up,,
Experience with Global,Experience with Global,,
Live thousands of new lives around the globe,Live thousands of new lives around the globe,,
Where do you want to go?,Where do you want to go?,,
Guests,Guests,,
Guest,Guest,,
Search,Search,,
Home,Home,,
Category,Category,,
Place,Place,,
City,City,,
No Listing,No Listing,,
Location,Location,,
Overview,Overview,,
From,From,,
per night,per night,,
Check In,Check In,,
Check Out,Check Out,,
Book it,Book it,,
Book Now,Book Now,,
Save to Wishlist,Save to Wishlist,,
Are you like to share this place,Are you like to share this place,,
About this listing,About this listing,,
The space,The space,,
More Descripion,More Descripion,,
Less Descripion,Less Descripion,,
Property Space,Property Space,,
Accommodates:,Accommodates:,,
Pet Owner:,Pet Owner:,,
Bathrooms:,Bathrooms:,,
Propery type:,Propery type:,,
Bedrooms:,Bedrooms:,,
Beds :,Beds :,,
Rooms type :,Rooms type :,,
Check in :,Check in :,,
Free Parking,Free Parking,,
TV,TV,,
Internet,Internet,,
Wireless Internet,Wireless Internet,,
Dryer,Dryer,,
Games,Games,,
Washer,Washer,,
Weekly Price,Weekly Price,,
Monthly Price,Monthly Price,,
Cancellation,Cancellation,,
Minimum stay :,Minimum stay :,,
Maximum stay :,Maximum stay :,,
Reviews,Reviews,,
Leave a Review,Leave a Review,,
There are no reviews yet for this booking.,There are no reviews yet for this booking.,,
Leave a Reviews,Leave a Reviews,,
More Reviews,More Reviews,,
"About your companion,","About your companion,",,
Response Time:,Response Time:,,
Trust,Trust,,
Profile Information,Profile Information,,
Edit Profile,Edit Profile,,
Trust and Verification,Trust and Verification,,
Check In :,Check In :,,
Check Out :,Check Out :,,
Please login to continue your booking,Please login to continue your booking,,
24/7 customer support,24/7 customer support,,
"If you need help while traveling or hosting, contact us at our toll free number: 000 999 4405 103","If you need help while traveling or hosting, contact us at our toll free number: 000 999 4405 103",,
"6,00,00,000 host guarantee","6,00,00,000 host guarantee",,
"Hosts are protected against property damages for up to $6,00,000.","Hosts are protected against property damages for up to $6,00,000.",,
Learn more,Learn more,,
Verified Listings,Verified Listings,,
We aim to build a trusted community by giving you more info when you are deciding who to host or stay with.,We aim to build a trusted community by giving you more info when you are deciding who to host or stay with.,,
Order Id,Order Id,,
Earned Amount,Earned Amount,,
Host Amount,Host Amount,,
Admin Commission,Admin Commission,,
Paid Status,Paid Status,,
Payment Request Sent,Payment Request Sent,,
Payment Request,Payment Request,,
Not Paid,Not Paid,,
No Records were Found,No Records were Found,,
ID,ID,,
Listing Name,Listing Name,,
To,To,,
Order Total,Order Total,,
Commission Fee,Commission Fee,,
Service Fee,Service Fee,,
Status,Status,,
Action,Action,,
View Order,View Order,,
Not paid To Hoster,Not paid To Hoster,,
Refund To Guest,Refund To Guest,,
Paid To Hoster,Paid To Hoster,,
Pay,Pay,,
Total Amount,Total Amount,,
Property Information,Property Information,,
Hoster Payment Status,Hoster Payment Status,,
This order no longer exists.,This order no longer exists.,,
Transaction details updated.,Transaction details updated.,,
Message,Message,,
Back To Booking History,Back To Booking History,,
Host Can\'t Book His Own Property,Host Can\'t Book His Own Property,,
Processing Fee,Processing Fee,,
Back To My Trips,Back To My Trips,,
Approve Cancel Request,Approve Cancel Request,,
Reject Cancel Request,Reject Cancel Request,,
Profile,Profile,,
"Posted On,","Posted On,",,
Reviews From Guests,Reviews From Guests,,
Listing Reviews,Listing Reviews,,
beds,beds,,
My Listings,My Listings,,
Please fill profile details to view the dashboard.,Please fill profile details to view the dashboard.,,
Click below link to redirect to dashboard.,Click below link to redirect to dashboard.,,
Verified,Verified,,
Manage Cities,Manage Cities,,
Select Gender,Select Gender,,
First Name,First Name,,
Last Name,Last Name,,
Gender,Gender,,
Birth Date,Birth Date,,
Phone Number,Phone Number,,
Describe yourself,Describe yourself,,
State,State,,
Country,Country,,
Select Country,Select Country,,
Add profile image,Add profile image,,
Bank Details,Bank Details,,
Update Profile,Update Profile,,
You updated the Listing.,You updated the Listing.,,
S.No.,S.No.,,
Summary,Summary,,
